trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,12,-141.69911158130094,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-48.41133249340551,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-115.72927554387898,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,5,-27.486524921026003,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-96.81676008606784,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-132.3814094987111,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-51.08988513593917,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-36.359271609686964,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-85.45122925564553,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,13,-40.448920173836285,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-89.0552900150149,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-113.6866184290463,"{0: 15, 1: 3, 2: 2, 3: 5, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,14,9.99833398901848,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-89.17536823430012,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,-35.16562645076686,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-192.04585520572664,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,15,-53.039541936945795,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,10,-13.961328926233795,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-23.914948687943493,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-20.452150376582836,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,7.736107060768196,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,5,-24.74618387552044,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,-7.918102019425402,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,28.38386213146665,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,15,-11.534103403678877,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,9,-72.46322532032603,"{0: 12, 1: 1, 2: 0, 3: 2, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",30,6,-40.066768520508916,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-6.807620750212178,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,20,-98.88124489217446,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",20,4,-10.70917262381854,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
