trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.999}",20,0,-104.72496584826622,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.998001}",30,0,-157.0566678056399,"{0: 17, 1: 3, 2: 4, 3: 6, 4: 0}",0
3,False,"{'a': 0.9, 'e': 0.997002999}",20,0,-195.69351643793254,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.9, 'e': 0.996005996001}",20,0,-163.18349818656378,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.995009990004999}",30,8,-141.11071732332678,"{0: 9, 1: 4, 2: 7, 3: 1, 4: 1}",1
6,False,"{'a': 0.9, 'e': 0.994014980014994}",35,0,-155.23493712987255,"{0: 23, 1: 4, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.993020965034979}",25,0,-135.3525860337779,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.992027944069944}",25,0,-120.98094295418991,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.991035916125874}",30,7,-65.30844892186198,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 0}",1
10,False,"{'a': 0.9, 'e': 0.9900448802097482}",20,0,-126.81705715065515,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.9890548353295384}",25,0,-107.98547138220557,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.9880657804942089}",20,0,-94.58293018620897,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.9870777147137147}",20,0,-67.67559282577645,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.986090636999001}",35,14,-59.715786411986244,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 1}",1
