trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.22625193248768,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-250.5866220239863,"{0: 10, 1: 2, 2: 9, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-246.88764032481367,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.99732344101722,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.43458853933865,"{0: 14, 1: 5, 2: 7, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.6552082161095,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-281.180937601851,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,1,-99.37728035400443,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.97712670130853,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.96701553262987,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.69000152000626,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.98272724867047,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.244463822432664,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.62661106307517,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.1801953372936,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.17657543123062,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.797785892912538,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-251.97617974735618,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.2356003022438,"{0: 10, 1: 3, 2: 8, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.1411836221146,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.46717305884275,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-126.61729942359021,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-136.84230653785647,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,4,-143.9713330674408,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-152.5744668072957,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-145.32624205781414,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.39234853618018,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.41608500543961,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.91330188774353,"{0: 6, 1: 2, 2: 10, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.2772045238585,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
